"Date","Time","ambiente","entrada","saida","dif","tensao","corrente","kacl/h","vazao","kw aquecimento","kw consumo","cop"
"2026/03/05","23:51:21","29.74","41.57","28.32","13.25","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/05","23:51:25","29.74","40.56","28.32","12.23","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/05","23:51:30","29.74","39.52","28.32","11.20","000.0","00.0","000.0","00000","000.0","000.0","00.0"
