"Date","Time","ambiente","entrada","saida","dif","tensao","corrente","kacl/h","vazao","kw aquecimento","kw consumo","cop"
"2026/03/08","09:39:44","27.39","27.52","26.90","00.62","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/08","09:39:52","27.40","28.60","26.90","01.75","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/08","09:39:54","27.40","32.27","26.90","05.42","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/08","09:39:56","27.39","35.32","26.90","08.47","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/08","09:39:59","27.40","38.57","26.90","11.71","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/08","09:40:02","27.39","41.78","26.90","14.90","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/08","09:40:08","27.40","44.82","26.90","17.94","000.0","00.0","000.0","00000","000.0","000.0","00.0"
