"Date","Time","ambiente","entrada","saida","dif","tensao","corrente","kacl/h","vazao","kw aquecimento","kw consumo","cop"
"2026/03/10","22:09:44","27.95","26.71","25.58","01.13","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/10","22:09:54","27.95","30.13","25.61","04.58","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/10","22:09:56","27.95","33.31","25.62","07.74","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/10","22:09:58","27.95","36.75","25.63","11.16","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/10","22:10:01","27.95","39.77","25.65","14.15","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/10","22:10:07","27.95","42.84","25.64","17.21","000.0","00.0","000.0","00000","000.0","000.0","00.0"
