"Date","Time","ambiente","entrada","saida","dif","tensao","corrente","kacl/h","vazao","kw aquecimento","kw consumo","cop"
"2026/03/06","23:29:40","29.78","27.23","27.63","00.40","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/06","23:29:45","29.78","28.31","27.63","00.69","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/06","23:29:48","29.78","29.43","27.63","01.81","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/06","23:29:54","29.77","30.48","27.64","02.84","000.0","00.0","000.0","00000","000.0","000.0","00.0"
