"Date","Time","ambiente","entrada","saida","dif","tensao","corrente","kacl/h","vazao","kw aquecimento","kw consumo","cop"
"2026/03/06","17:38:03","29.73","25.42","27.46","02.04","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/06","17:38:12","29.74","26.42","27.45","01.02","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/06","17:38:16","29.74","27.50","27.45","00.06","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/06","17:38:21","29.74","28.53","27.46","01.08","000.0","00.0","000.0","00000","000.0","000.0","00.0"
