"Date","Time","ambiente","entrada","saida","dif","tensao","corrente","kacl/h","vazao","kw aquecimento","kw consumo","cop"
"2026/03/11","20:03:03","25.77","25.30","24.99","00.31","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/11","20:03:13","25.77","28.77","25.02","03.80","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/11","20:03:15","25.77","31.94","25.02","06.97","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/11","20:03:17","25.77","35.42","25.00","10.48","000.0","00.0","000.0","00000","000.0","000.0","00.0"
"2026/03/11","20:03:20","25.77","38.65","24.99","13.70","000.0","00.0","000.0","00000","000.0","000.0","00.0"
